Neighbourhood,Population, 2016,South Asian,Tamils
Thorncliffe Park,21108,45,2
Rouge,46496,44,24
West Humber-Clairville,33312,43,3
Malvern,43794,41,16
Woburn,53485,40,12
Highland Creek,12494,37,16
Taylor-Massey,15683,37,1
Mount Olive-Silverstone-Jamestown,32954,35,4
Oakridge,13845,34,2
Flemingdon Park,21933,34,4
Scarborough Village,16724,33,11
Morningside,17455,31,13
Dorset Park,25003,30,13
Humber Summit,12416,28,1
Eglinton East,22776,28,14
Ionview,13641,28,8
Bendale,29960,27,8
Thistletown-Beaumond Heights,10360,27,2
Regent Park,10803,26,6
Kennedy Park,17123,25,7
Clairlea-Birchmount,26984,22,2
Humbermede,15545,21,2
Henry Farm,15723,21,1
North St. James Town,18615,20,5
West Hill,27392,20,4
Centennial Scarborough,13362,19,6
Cliffcrest,15935,19,4
Agincourt North,29113,18,11
Agincourt South-Malvern West,23757,18,7
Victoria Village,17510,18,3
Tam O'Shanter-Sullivan,27446,17,5
Kingsview Village-The Westway,22000,17,1
L'Amoreaux,43993,17,8
York University Heights,27593,16,5
Wexford/Maryvale,27917,15,5
Rexdale-Kipling,10529,14,1
Milliken,26572,12,7
Willowridge-Martingrove-Richview,22156,11,1
Don Valley Village,27051,11,1
Waterfront Communities-The Island,65913,11,1
Black Creek,21737,11,3
Banbury-Don Mills,27695,11,1
Parkwoods-Donalda,34805,11,2
Etobicoke West Mall,11848,10,2
Maple Leaf,10111,10,1
Guildwood,9917,10,1
Bay Street Corridor,25797,10,1
O'Connor-Parkview,18675,10,1
Elms-Old Rexdale,9456,9,1
Hillcrest Village,16934,9,1
Keelesdale-Eglinton West,11058,9,0
Church-Yonge Corridor,31340,9,1
Glenfield-Jane Heights,30491,9,1
Pleasant View,15818,8,1
East End-Danforth,21381,8,1
Islington-City Centre West,43965,8,0
Danforth,9666,8,0
Greenwood-Coxwell,14417,8,1
South Parkdale,21849,8,2
Niagara,31180,8,1
Eringate-Centennial-West Deane,18588,7,1
Pelmo Park-Humberlea,10722,7,2
Lansing-Westgate,16164,7,0
Brookhaven-Amesbury,17757,7,2
Birchcliffe-Cliffside,22291,7,1
Mount Pleasant West,29658,7,0
Willowdale East,50434,7,1
Moss Park,20506,7,1
Blake-Jones,7727,7,1
St.Andrew-Windfields,17812,7,1
Bayview Village,21396,7,1
